id,date,time,milli sec,timestamp1,l_fm_odg_spab11,d_ffb_cfb,d_ffb_ltf,l_fm_odg_ffbmps,steelidtotal,type
52,2019-5-10,18:56:41,500,1557514602,1,1040,565,22.15729,2019-05-10 08:25:18 NO404,
53,2019-5-10,18:56:41,750,1557514602,1,1043,580,22.156082,2019-05-10 08:25:18 NO404,
54,2019-5-10,18:56:42,0,1557514602,1,1060,588,22.158497,2019-05-10 08:25:18 NO404,
55,2019-5-10,18:56:42,250,1557514602,1,871,345,22.158497,2019-05-10 08:25:18 NO404,
56,2019-5-10,18:56:42,500,1557514603,1,565,214,22.220089,2019-05-10 08:25:18 NO404,
184,2019-5-10,18:57:14,500,1557514635,1,939,589,22.357767,2019-05-10 08:25:18 NO405,
185,2019-5-10,18:57:14,750,1557514635,1,906,584,22.320326,2019-05-10 08:25:18 NO405,
186,2019-5-10,18:57:15,0,1557514635,1,907,583,22.26115,2019-05-10 08:25:18 NO405,
187,2019-5-10,18:57:15,250,1557514635,1,937,593,22.197144,2019-05-10 08:25:18 NO405,
188,2019-5-10,18:57:15,500,1557514636,1,1103,575,22.156082,2019-05-10 08:25:18 NO405,
189,2019-5-10,18:57:15,750,1557514636,1,1089,609,22.153666,2019-05-10 08:25:18 NO405,
190,2019-5-10,18:57:16,0,1557514636,1,1093,608,22.160913,2019-05-10 08:25:18 NO405,
191,2019-5-10,18:57:16,250,1557514636,1,1077,608,22.159706,2019-05-10 08:25:18 NO405,
192,2019-5-10,18:57:16,500,1557514637,1,1090,607,22.162121,2019-05-10 08:25:18 NO405,
193,2019-5-10,18:57:16,750,1557514637,1,969,547,22.170574,2019-05-10 08:25:18 NO405,
194,2019-5-10,18:57:17,0,1557514637,1,1068,574,22.156082,2019-05-10 08:25:18 NO405,
195,2019-5-10,18:57:17,250,1557514637,1,1071,597,22.15729,2019-05-10 08:25:18 NO405,
196,2019-5-10,18:57:17,500,1557514638,1,1058,589,22.160913,2019-05-10 08:25:18 NO405,
